jobNumber,StartTime,EndTime,JobLength,ElapsedTime
190,1/1/2020 12:00:00 AM,1/1/2020 1:02:09 AM,3667,3729,445
721,1/1/2020 12:00:00 AM,1/1/2020 1:03:15 AM,3659,3795,2316
75,1/1/2020 12:00:00 AM,1/1/2020 1:03:16 AM,3706,3796,174
227,1/1/2020 12:00:00 AM,1/1/2020 1:03:53 AM,3693,3833,540
93,1/1/2020 12:00:00 AM,1/1/2020 1:03:57 AM,3788,3837,217
217,1/1/2020 12:00:00 AM,1/1/2020 1:04:22 AM,3800,3862,517
390,1/1/2020 12:00:00 AM,1/1/2020 1:05:03 AM,3837,3903,983
532,1/1/2020 12:00:00 AM,1/1/2020 1:05:31 AM,3860,3931,1452
207,1/1/2020 12:00:00 AM,1/1/2020 1:05:33 AM,3820,3933,494
112,1/1/2020 12:00:00 AM,1/1/2020 1:05:39 AM,3752,3939,260
467,1/1/2020 12:00:00 AM,1/1/2020 1:06:57 AM,3724,4017,1227
517,1/1/2020 12:00:00 AM,1/1/2020 1:06:59 AM,3923,4019,1402
544,1/1/2020 12:00:00 AM,1/1/2020 1:07:00 AM,3691,4020,1499
437,1/1/2020 12:00:00 AM,1/1/2020 1:07:01 AM,3898,4021,1134
678,1/1/2020 12:00:00 AM,1/1/2020 1:07:11 AM,3868,4031,2075
220,1/1/2020 12:00:00 AM,1/1/2020 1:07:36 AM,3717,4056,525
590,1/1/2020 12:00:00 AM,1/1/2020 1:07:40 AM,3894,4060,1682
123,1/1/2020 12:00:00 AM,1/1/2020 1:07:51 AM,3956,4071,282
91,1/1/2020 12:00:00 AM,1/1/2020 1:08:21 AM,3963,4101,213
333,1/1/2020 12:00:00 AM,1/1/2020 1:08:37 AM,3704,4117,820
712,1/1/2020 12:00:00 AM,1/1/2020 1:08:49 AM,4034,4129,2267
242,1/1/2020 12:00:00 AM,1/1/2020 1:09:41 AM,4124,4181,576
218,1/1/2020 12:00:00 AM,1/1/2020 1:10:44 AM,3801,4244,520
56,1/1/2020 12:00:00 AM,1/1/2020 1:11:12 AM,3936,4272,130
620,1/1/2020 12:00:00 AM,1/1/2020 1:11:25 AM,4201,4285,1799
717,1/1/2020 12:00:00 AM,1/1/2020 1:11:37 AM,4233,4297,2300
411,1/1/2020 12:00:00 AM,1/1/2020 1:11:48 AM,4224,4308,1049
596,1/1/2020 12:00:00 AM,1/1/2020 1:11:59 AM,4210,4319,1711
4,1/1/2020 12:00:00 AM,1/1/2020 1:12:10 AM,4009,4330,8
41,1/1/2020 12:00:00 AM,1/1/2020 1:12:36 AM,3934,4356,97
684,1/1/2020 12:00:00 AM,1/1/2020 1:12:38 AM,4053,4358,2110
25,1/1/2020 12:00:00 AM,1/1/2020 1:12:40 AM,4305,4360,57
246,1/1/2020 12:00:00 AM,1/1/2020 1:13:33 AM,4366,4413,585
109,1/1/2020 12:00:00 AM,1/1/2020 1:13:34 AM,4222,4414,253
618,1/1/2020 12:00:00 AM,1/1/2020 1:13:43 AM,4324,4423,1793
367,1/1/2020 12:00:00 AM,1/1/2020 1:13:47 AM,4215,4427,920
388,1/1/2020 12:00:00 AM,1/1/2020 1:13:59 AM,4298,4439,978
315,1/1/2020 12:00:00 AM,1/1/2020 1:14:22 AM,4364,4462,771
175,1/1/2020 12:00:00 AM,1/1/2020 1:14:54 AM,4421,4494,411
743,1/1/2020 12:00:00 AM,1/1/2020 1:14:54 AM,4136,4494,2520
64,1/1/2020 12:00:00 AM,1/1/2020 1:15:01 AM,3938,4501,150
52,1/1/2020 12:00:00 AM,1/1/2020 1:15:22 AM,4210,4522,122
187,1/1/2020 12:00:00 AM,1/1/2020 1:16:38 AM,4506,4598,439
423,1/1/2020 12:00:00 AM,1/1/2020 1:17:36 AM,4113,4656,1091
670,1/1/2020 12:00:00 AM,1/1/2020 1:18:13 AM,4588,4693,2035
442,1/1/2020 12:00:00 AM,1/1/2020 1:18:16 AM,4420,4696,1148
663,1/1/2020 12:00:00 AM,1/1/2020 1:18:49 AM,4570,4729,2002
353,1/1/2020 12:00:00 AM,1/1/2020 1:18:59 AM,4551,4739,883
700,1/1/2020 12:00:00 AM,1/1/2020 1:19:02 AM,4672,4742,2187
27,1/1/2020 12:00:00 AM,1/1/2020 1:19:03 AM,4706,4743,62
336,1/1/2020 12:00:00 AM,1/1/2020 1:19:15 AM,4566,4755,832
228,1/1/2020 12:00:00 AM,1/1/2020 1:19:24 AM,4193,4764,542
484,1/1/2020 12:00:00 AM,1/1/2020 1:19:30 AM,4693,4770,1282
472,1/1/2020 12:00:00 AM,1/1/2020 1:19:34 AM,4614,4774,1242
660,1/1/2020 12:00:00 AM,1/1/2020 1:19:48 AM,4482,4788,1987
453,1/1/2020 12:00:00 AM,1/1/2020 1:19:55 AM,4674,4795,1184
497,1/1/2020 12:00:00 AM,1/1/2020 1:20:25 AM,4715,4825,1324
77,1/1/2020 12:00:00 AM,1/1/2020 1:20:42 AM,4567,4842,178
142,1/1/2020 12:00:00 AM,1/1/2020 1:22:07 AM,4786,4927,334
408,1/1/2020 12:00:00 AM,1/1/2020 1:22:25 AM,4702,4945,1039
6,1/1/2020 12:00:00 AM,1/1/2020 1:22:56 AM,4272,4976,13
574,1/1/2020 12:00:00 AM,1/1/2020 1:23:36 AM,4911,5016,1617
10,1/1/2020 12:00:00 AM,1/1/2020 1:23:41 AM,4472,5021,22
463,1/1/2020 12:00:00 AM,1/1/2020 1:23:54 AM,4938,5034,1211
100,1/1/2020 12:00:00 AM,1/1/2020 1:24:07 AM,4914,5047,232
516,1/1/2020 12:00:00 AM,1/1/2020 1:24:22 AM,4728,5062,1396
135,1/1/2020 12:00:00 AM,1/1/2020 1:25:26 AM,5055,5126,311
505,1/1/2020 12:00:00 AM,1/1/2020 1:25:54 AM,4957,5154,1345
537,1/1/2020 12:00:00 AM,1/1/2020 1:25:56 AM,4940,5156,1472
231,1/1/2020 12:00:00 AM,1/1/2020 1:25:58 AM,4922,5158,548
34,1/1/2020 12:00:00 AM,1/1/2020 1:26:00 AM,4556,5160,80
278,1/1/2020 12:00:00 AM,1/1/2020 1:26:14 AM,5051,5174,672
67,1/1/2020 12:00:00 AM,1/1/2020 1:26:16 AM,4743,5176,157
144,1/1/2020 12:00:00 AM,1/1/2020 1:26:21 AM,4862,5181,339
539,1/1/2020 12:00:00 AM,1/1/2020 1:26:21 AM,5090,5181,1480
216,1/1/2020 12:00:00 AM,1/1/2020 1:26:32 AM,4902,5192,515
495,1/1/2020 12:00:00 AM,1/1/2020 1:27:20 AM,5126,5240,1319
642,1/1/2020 12:00:00 AM,1/1/2020 1:27:38 AM,4806,5258,1891
420,1/1/2020 12:00:00 AM,1/1/2020 1:27:44 AM,5056,5264,1082
163,1/1/2020 12:00:00 AM,1/1/2020 1:27:52 AM,5195,5272,386
630,1/1/2020 12:00:00 AM,1/1/2020 1:27:52 AM,5195,5272,1834
240,1/1/2020 12:00:00 AM,1/1/2020 1:28:02 AM,5144,5282,572
162,1/1/2020 12:00:00 AM,1/1/2020 1:29:02 AM,5237,5342,384
380,1/1/2020 12:00:00 AM,1/1/2020 1:30:01 AM,5007,5401,954
457,1/1/2020 12:00:00 AM,1/1/2020 1:30:03 AM,5087,5403,1193
